year,basis,cadre,group,course_years,sanctioned_seats_frozen,sanctioned_seats_trend,fill_rate,completion_rate,completion_basis,qualified_output_frozen,qualified_output_trend,full_coverage_year
2032,Projected,BPT,Rehabilitation,5,3348,4508,0.8909,0.9104,assumed,2715,3068,yes
2033,Projected,BPT,Rehabilitation,5,3348,4653,0.8909,0.9104,assumed,2715,3186,yes
2034,Projected,BPT,Rehabilitation,5,3348,4798,0.8909,0.9104,assumed,2715,3303,yes
2035,Projected,BPT,Rehabilitation,5,3348,4943,0.8909,0.9104,assumed,2715,3421,yes
2036,Projected,BPT,Rehabilitation,5,3348,4943,0.8909,0.9104,assumed,2715,3539,yes
2037,Projected,BPT,Rehabilitation,5,3348,4943,0.8909,0.9104,assumed,2715,3656,yes
2038,Projected,BPT,Rehabilitation,5,3348,4943,0.8909,0.9104,assumed,2715,3774,yes
2039,Projected,BPT,Rehabilitation,5,3348,4943,0.8909,0.9104,assumed,2715,3891,yes
2040,Projected,BPT,Rehabilitation,5,3348,4943,0.8909,0.9104,assumed,2715,4009,yes
2041,Projected,BPT,Rehabilitation,5,3348,4943,0.8909,0.9104,assumed,2715,4009,yes
2042,Projected,BPT,Rehabilitation,5,3348,4943,0.8909,0.9104,assumed,2715,4009,yes
2043,Projected,BPT,Rehabilitation,5,3348,4943,0.8909,0.9104,assumed,2715,4009,yes
2044,Projected,BPT,Rehabilitation,5,3348,4943,0.8909,0.9104,assumed,2715,4009,yes
2045,Projected,BPT,Rehabilitation,5,3348,4943,0.8909,0.9104,assumed,2715,4009,yes
2046,Projected,BPT,Rehabilitation,5,3348,4943,0.8909,0.9104,assumed,2715,4009,yes
2047,Projected,BPT,Rehabilitation,5,3348,4943,0.8909,0.9104,assumed,2715,4009,yes
2048,Projected,BPT,Rehabilitation,5,3348,4943,0.8909,0.9104,assumed,2715,4009,yes
2049,Projected,BPT,Rehabilitation,5,3348,4943,0.8909,0.9104,assumed,2715,4009,yes
2050,Projected,BPT,Rehabilitation,5,3348,4943,0.8909,0.9104,assumed,2715,4009,yes
2021,Observed,MPT,Rehabilitation,2,375,367,0.9443,0.9751,observed (3 cohort matches),,,"no, partial"
2022,Observed,MPT,Rehabilitation,2,375,369,0.9443,0.9751,observed (3 cohort matches),,,"no, partial"
2023,Observed,MPT,Rehabilitation,2,375,379,0.9443,0.9751,observed (3 cohort matches),345,338,"no, partial"
2024,Observed,MPT,Rehabilitation,2,375,375,0.9443,0.9751,observed (3 cohort matches),345,340,"no, partial"
2025,Observed,MPT,Rehabilitation,2,375,378,0.9443,0.9751,observed (3 cohort matches),345,349,"no, partial"
2026,Projected,MPT,Rehabilitation,2,375,382,0.9443,0.9751,observed (3 cohort matches),345,345,"no, partial"
2027,Projected,MPT,Rehabilitation,2,375,385,0.9443,0.9751,observed (3 cohort matches),345,348,yes
2028,Projected,MPT,Rehabilitation,2,375,389,0.9443,0.9751,observed (3 cohort matches),345,352,yes
2029,Projected,MPT,Rehabilitation,2,375,392,0.9443,0.9751,observed (3 cohort matches),345,355,yes
2030,Projected,MPT,Rehabilitation,2,375,395,0.9443,0.9751,observed (3 cohort matches),345,358,yes
2031,Projected,MPT,Rehabilitation,2,375,399,0.9443,0.9751,observed (3 cohort matches),345,361,yes
2032,Projected,MPT,Rehabilitation,2,375,402,0.9443,0.9751,observed (3 cohort matches),345,364,yes
2033,Projected,MPT,Rehabilitation,2,375,406,0.9443,0.9751,observed (3 cohort matches),345,367,yes
2034,Projected,MPT,Rehabilitation,2,375,409,0.9443,0.9751,observed (3 cohort matches),345,370,yes
2035,Projected,MPT,Rehabilitation,2,375,412,0.9443,0.9751,observed (3 cohort matches),345,373,yes
2036,Projected,MPT,Rehabilitation,2,375,412,0.9443,0.9751,observed (3 cohort matches),345,377,yes
2037,Projected,MPT,Rehabilitation,2,375,412,0.9443,0.9751,observed (3 cohort matches),345,380,yes
2038,Projected,MPT,Rehabilitation,2,375,412,0.9443,0.9751,observed (3 cohort matches),345,380,yes
2039,Projected,MPT,Rehabilitation,2,375,412,0.9443,0.9751,observed (3 cohort matches),345,380,yes
2040,Projected,MPT,Rehabilitation,2,375,412,0.9443,0.9751,observed (3 cohort matches),345,380,yes
2041,Projected,MPT,Rehabilitation,2,375,412,0.9443,0.9751,observed (3 cohort matches),345,380,yes
2042,Projected,MPT,Rehabilitation,2,375,412,0.9443,0.9751,observed (3 cohort matches),345,380,yes
2043,Projected,MPT,Rehabilitation,2,375,412,0.9443,0.9751,observed (3 cohort matches),345,380,yes
2044,Projected,MPT,Rehabilitation,2,375,412,0.9443,0.9751,observed (3 cohort matches),345,380,yes
2045,Projected,MPT,Rehabilitation,2,375,412,0.9443,0.9751,observed (3 cohort matches),345,380,yes
2046,Projected,MPT,Rehabilitation,2,375,412,0.9443,0.9751,observed (3 cohort matches),345,380,yes
2047,Projected,MPT,Rehabilitation,2,375,412,0.9443,0.9751,observed (3 cohort matches),345,380,yes
2048,Projected,MPT,Rehabilitation,2,375,412,0.9443,0.9751,observed (3 cohort matches),345,380,yes
2049,Projected,MPT,Rehabilitation,2,375,412,0.9443,0.9751,observed (3 cohort matches),345,380,yes
2050,Projected,MPT,Rehabilitation,2,375,412,0.9443,0.9751,observed (3 cohort matches),345,380,yes
2021,Observed,BOT,Rehabilitation,5,728,568,0.6746,0.9104,assumed,,,"no, partial"
2022,Observed,BOT,Rehabilitation,5,728,618,0.6746,0.9104,assumed,,,"no, partial"
2023,Observed,BOT,Rehabilitation,5,728,618,0.6746,0.9104,assumed,,,"no, partial"
2024,Observed,BOT,Rehabilitation,5,728,728,0.6746,0.9104,assumed,,,"no, partial"
2025,Observed,BOT,Rehabilitation,5,728,776,0.6746,0.9104,assumed,,,"no, partial"
2026,Projected,BOT,Rehabilitation,5,728,824,0.6746,0.9104,assumed,447,349,"no, partial"
2027,Projected,BOT,Rehabilitation,5,728,872,0.6746,0.9104,assumed,447,380,yes
2028,Projected,BOT,Rehabilitation,5,728,920,0.6746,0.9104,assumed,447,380,yes
2029,Projected,BOT,Rehabilitation,5,728,968,0.6746,0.9104,assumed,447,447,yes
2030,Projected,BOT,Rehabilitation,5,728,1016,0.6746,0.9104,assumed,447,477,yes
2031,Projected,BOT,Rehabilitation,5,728,1064,0.6746,0.9104,assumed,447,506,yes
2032,Projected,BOT,Rehabilitation,5,728,1112,0.6746,0.9104,assumed,447,536,yes
2033,Projected,BOT,Rehabilitation,5,728,1160,0.6746,0.9104,assumed,447,565,yes
2034,Projected,BOT,Rehabilitation,5,728,1208,0.6746,0.9104,assumed,447,594,yes
2035,Projected,BOT,Rehabilitation,5,728,1256,0.6746,0.9104,assumed,447,624,yes
2036,Projected,BOT,Rehabilitation,5,728,1256,0.6746,0.9104,assumed,447,653,yes
2037,Projected,BOT,Rehabilitation,5,728,1256,0.6746,0.9104,assumed,447,683,yes
2038,Projected,BOT,Rehabilitation,5,728,1256,0.6746,0.9104,assumed,447,712,yes
2039,Projected,BOT,Rehabilitation,5,728,1256,0.6746,0.9104,assumed,447,742,yes
2040,Projected,BOT,Rehabilitation,5,728,1256,0.6746,0.9104,assumed,447,771,yes
2041,Projected,BOT,Rehabilitation,5,728,1256,0.6746,0.9104,assumed,447,771,yes
2042,Projected,BOT,Rehabilitation,5,728,1256,0.6746,0.9104,assumed,447,771,yes
2043,Projected,BOT,Rehabilitation,5,728,1256,0.6746,0.9104,assumed,447,771,yes
2044,Projected,BOT,Rehabilitation,5,728,1256,0.6746,0.9104,assumed,447,771,yes
2045,Projected,BOT,Rehabilitation,5,728,1256,0.6746,0.9104,assumed,447,771,yes
2046,Projected,BOT,Rehabilitation,5,728,1256,0.6746,0.9104,assumed,447,771,yes
2047,Projected,BOT,Rehabilitation,5,728,1256,0.6746,0.9104,assumed,447,771,yes
2048,Projected,BOT,Rehabilitation,5,728,1256,0.6746,0.9104,assumed,447,771,yes
2049,Projected,BOT,Rehabilitation,5,728,1256,0.6746,0.9104,assumed,447,771,yes
2050,Projected,BOT,Rehabilitation,5,728,1256,0.6746,0.9104,assumed,447,771,yes
2021,Observed,MOT,Rehabilitation,2,39,30,0.7385,0.9333,observed (3 cohort matches),,,"no, partial"
2022,Observed,MOT,Rehabilitation,2,39,22,0.7385,0.9333,observed (3 cohort matches),,,"no, partial"
2023,Observed,MOT,Rehabilitation,2,39,39,0.7385,0.9333,observed (3 cohort matches),27,21,"no, partial"
2024,Observed,MOT,Rehabilitation,2,39,39,0.7385,0.9333,observed (3 cohort matches),27,15,"no, partial"
2025,Observed,MOT,Rehabilitation,2,39,43,0.7385,0.9333,observed (3 cohort matches),27,27,"no, partial"
2026,Projected,MOT,Rehabilitation,2,39,48,0.7385,0.9333,observed (3 cohort matches),27,27,"no, partial"
2027,Projected,MOT,Rehabilitation,2,39,52,0.7385,0.9333,observed (3 cohort matches),27,30,yes
2028,Projected,MOT,Rehabilitation,2,39,57,0.7385,0.9333,observed (3 cohort matches),27,33,yes
2029,Projected,MOT,Rehabilitation,2,39,61,0.7385,0.9333,observed (3 cohort matches),27,36,yes
2030,Projected,MOT,Rehabilitation,2,39,65,0.7385,0.9333,observed (3 cohort matches),27,39,yes
2031,Projected,MOT,Rehabilitation,2,39,70,0.7385,0.9333,observed (3 cohort matches),27,42,yes
2032,Projected,MOT,Rehabilitation,2,39,74,0.7385,0.9333,observed (3 cohort matches),27,45,yes
2033,Projected,MOT,Rehabilitation,2,39,79,0.7385,0.9333,observed (3 cohort matches),27,48,yes
2034,Projected,MOT,Rehabilitation,2,39,83,0.7385,0.9333,observed (3 cohort matches),27,51,yes
2035,Projected,MOT,Rehabilitation,2,39,87,0.7385,0.9333,observed (3 cohort matches),27,54,yes
2036,Projected,MOT,Rehabilitation,2,39,87,0.7385,0.9333,observed (3 cohort matches),27,57,yes
2037,Projected,MOT,Rehabilitation,2,39,87,0.7385,0.9333,observed (3 cohort matches),27,60,yes
2038,Projected,MOT,Rehabilitation,2,39,87,0.7385,0.9333,observed (3 cohort matches),27,60,yes
2039,Projected,MOT,Rehabilitation,2,39,87,0.7385,0.9333,observed (3 cohort matches),27,60,yes
2040,Projected,MOT,Rehabilitation,2,39,87,0.7385,0.9333,observed (3 cohort matches),27,60,yes
2041,Projected,MOT,Rehabilitation,2,39,87,0.7385,0.9333,observed (3 cohort matches),27,60,yes
2042,Projected,MOT,Rehabilitation,2,39,87,0.7385,0.9333,observed (3 cohort matches),27,60,yes
2043,Projected,MOT,Rehabilitation,2,39,87,0.7385,0.9333,observed (3 cohort matches),27,60,yes
2044,Projected,MOT,Rehabilitation,2,39,87,0.7385,0.9333,observed (3 cohort matches),27,60,yes
2045,Projected,MOT,Rehabilitation,2,39,87,0.7385,0.9333,observed (3 cohort matches),27,60,yes
2046,Projected,MOT,Rehabilitation,2,39,87,0.7385,0.9333,observed (3 cohort matches),27,60,yes
2047,Projected,MOT,Rehabilitation,2,39,87,0.7385,0.9333,observed (3 cohort matches),27,60,yes
2048,Projected,MOT,Rehabilitation,2,39,87,0.7385,0.9333,observed (3 cohort matches),27,60,yes
2049,Projected,MOT,Rehabilitation,2,39,87,0.7385,0.9333,observed (3 cohort matches),27,60,yes
2050,Projected,MOT,Rehabilitation,2,39,87,0.7385,0.9333,observed (3 cohort matches),27,60,yes
2021,Observed,BAMS (Ayurveda),AYUSH,6,330,370,0.8394,0.9104,assumed,,,"no, partial"
2022,Observed,BAMS (Ayurveda),AYUSH,6,330,370,0.8394,0.9104,assumed,,,"no, partial"
2023,Observed,BAMS (Ayurveda),AYUSH,6,330,312,0.8394,0.9104,assumed,,,"no, partial"
2024,Observed,BAMS (Ayurveda),AYUSH,6,330,330,0.8394,0.9104,assumed,,,"no, partial"
2025,Observed,BAMS (Ayurveda),AYUSH,6,330,330,0.8394,0.9104,assumed,,,"no, partial"
2026,Projected,BAMS (Ayurveda),AYUSH,6,330,318,0.8394,0.9104,assumed,,,"no, partial"
2027,Projected,BAMS (Ayurveda),AYUSH,6,330,306,0.8394,0.9104,assumed,252,283,yes
2028,Projected,BAMS (Ayurveda),AYUSH,6,330,294,0.8394,0.9104,assumed,252,283,yes
2029,Projected,BAMS (Ayurveda),AYUSH,6,330,282,0.8394,0.9104,assumed,252,238,yes
2030,Projected,BAMS (Ayurveda),AYUSH,6,330,270,0.8394,0.9104,assumed,252,252,yes
2031,Projected,BAMS (Ayurveda),AYUSH,6,330,258,0.8394,0.9104,assumed,252,252,yes
2032,Projected,BAMS (Ayurveda),AYUSH,6,330,246,0.8394,0.9104,assumed,252,243,yes
2033,Projected,BAMS (Ayurveda),AYUSH,6,330,234,0.8394,0.9104,assumed,252,234,yes
2034,Projected,BAMS (Ayurveda),AYUSH,6,330,222,0.8394,0.9104,assumed,252,225,yes
2035,Projected,BAMS (Ayurveda),AYUSH,6,330,210,0.8394,0.9104,assumed,252,215,yes
2036,Projected,BAMS (Ayurveda),AYUSH,6,330,210,0.8394,0.9104,assumed,252,206,yes
2037,Projected,BAMS (Ayurveda),AYUSH,6,330,210,0.8394,0.9104,assumed,252,197,yes
2038,Projected,BAMS (Ayurveda),AYUSH,6,330,210,0.8394,0.9104,assumed,252,188,yes
2039,Projected,BAMS (Ayurveda),AYUSH,6,330,210,0.8394,0.9104,assumed,252,179,yes
2040,Projected,BAMS (Ayurveda),AYUSH,6,330,210,0.8394,0.9104,assumed,252,170,yes
2041,Projected,BAMS (Ayurveda),AYUSH,6,330,210,0.8394,0.9104,assumed,252,160,yes
2042,Projected,BAMS (Ayurveda),AYUSH,6,330,210,0.8394,0.9104,assumed,252,160,yes
2043,Projected,BAMS (Ayurveda),AYUSH,6,330,210,0.8394,0.9104,assumed,252,160,yes
2044,Projected,BAMS (Ayurveda),AYUSH,6,330,210,0.8394,0.9104,assumed,252,160,yes
2045,Projected,BAMS (Ayurveda),AYUSH,6,330,210,0.8394,0.9104,assumed,252,160,yes
2046,Projected,BAMS (Ayurveda),AYUSH,6,330,210,0.8394,0.9104,assumed,252,160,yes
2047,Projected,BAMS (Ayurveda),AYUSH,6,330,210,0.8394,0.9104,assumed,252,160,yes
2048,Projected,BAMS (Ayurveda),AYUSH,6,330,210,0.8394,0.9104,assumed,252,160,yes
2049,Projected,BAMS (Ayurveda),AYUSH,6,330,210,0.8394,0.9104,assumed,252,160,yes
2050,Projected,BAMS (Ayurveda),AYUSH,6,330,210,0.8394,0.9104,assumed,252,160,yes
2021,Observed,BSMS (Siddha),AYUSH,6,1040,650,0.8454,0.9104,assumed,,,"no, partial"
2022,Observed,BSMS (Siddha),AYUSH,6,1040,790,0.8454,0.9104,assumed,,,"no, partial"
2023,Observed,BSMS (Siddha),AYUSH,6,1040,890,0.8454,0.9104,assumed,,,"no, partial"
2024,Observed,BSMS (Siddha),AYUSH,6,1040,1040,0.8454,0.9104,assumed,,,"no, partial"
2025,Observed,BSMS (Siddha),AYUSH,6,1040,1040,0.8454,0.9104,assumed,,,"no, partial"
2026,Projected,BSMS (Siddha),AYUSH,6,1040,1143,0.8454,0.9104,assumed,,,"no, partial"
2027,Projected,BSMS (Siddha),AYUSH,6,1040,1246,0.8454,0.9104,assumed,800,500,yes
2028,Projected,BSMS (Siddha),AYUSH,6,1040,1349,0.8454,0.9104,assumed,800,608,yes
2029,Projected,BSMS (Siddha),AYUSH,6,1040,1452,0.8454,0.9104,assumed,800,685,yes
2030,Projected,BSMS (Siddha),AYUSH,6,1040,1555,0.8454,0.9104,assumed,800,800,yes
2031,Projected,BSMS (Siddha),AYUSH,6,1040,1658,0.8454,0.9104,assumed,800,800,yes
2032,Projected,BSMS (Siddha),AYUSH,6,1040,1761,0.8454,0.9104,assumed,800,880,yes
2033,Projected,BSMS (Siddha),AYUSH,6,1040,1864,0.8454,0.9104,assumed,800,959,yes
2034,Projected,BSMS (Siddha),AYUSH,6,1040,1967,0.8454,0.9104,assumed,800,1038,yes
2035,Projected,BSMS (Siddha),AYUSH,6,1040,2070,0.8454,0.9104,assumed,800,1117,yes
2036,Projected,BSMS (Siddha),AYUSH,6,1040,2070,0.8454,0.9104,assumed,800,1197,yes
2037,Projected,BSMS (Siddha),AYUSH,6,1040,2070,0.8454,0.9104,assumed,800,1276,yes
2038,Projected,BSMS (Siddha),AYUSH,6,1040,2070,0.8454,0.9104,assumed,800,1355,yes
2039,Projected,BSMS (Siddha),AYUSH,6,1040,2070,0.8454,0.9104,assumed,800,1435,yes
2040,Projected,BSMS (Siddha),AYUSH,6,1040,2070,0.8454,0.9104,assumed,800,1514,yes
2041,Projected,BSMS (Siddha),AYUSH,6,1040,2070,0.8454,0.9104,assumed,800,1593,yes
2042,Projected,BSMS (Siddha),AYUSH,6,1040,2070,0.8454,0.9104,assumed,800,1593,yes
2043,Projected,BSMS (Siddha),AYUSH,6,1040,2070,0.8454,0.9104,assumed,800,1593,yes
2044,Projected,BSMS (Siddha),AYUSH,6,1040,2070,0.8454,0.9104,assumed,800,1593,yes
2045,Projected,BSMS (Siddha),AYUSH,6,1040,2070,0.8454,0.9104,assumed,800,1593,yes
2046,Projected,BSMS (Siddha),AYUSH,6,1040,2070,0.8454,0.9104,assumed,800,1593,yes
2047,Projected,BSMS (Siddha),AYUSH,6,1040,2070,0.8454,0.9104,assumed,800,1593,yes
2048,Projected,BSMS (Siddha),AYUSH,6,1040,2070,0.8454,0.9104,assumed,800,1593,yes
2049,Projected,BSMS (Siddha),AYUSH,6,1040,2070,0.8454,0.9104,assumed,800,1593,yes
2050,Projected,BSMS (Siddha),AYUSH,6,1040,2070,0.8454,0.9104,assumed,800,1593,yes
2021,Observed,BUMS (Unani),AYUSH,6,60,60,0.9474,0.9104,assumed,,,"no, partial"
2022,Observed,BUMS (Unani),AYUSH,6,60,60,0.9474,0.9104,assumed,,,"no, partial"
2023,Observed,BUMS (Unani),AYUSH,6,60,54,0.9474,0.9104,assumed,,,"no, partial"
2024,Observed,BUMS (Unani),AYUSH,6,60,51,0.9474,0.9104,assumed,,,"no, partial"
2025,Observed,BUMS (Unani),AYUSH,6,60,60,0.9474,0.9104,assumed,,,"no, partial"
2026,Projected,BUMS (Unani),AYUSH,6,60,59,0.9474,0.9104,assumed,,,"no, partial"
2027,Projected,BUMS (Unani),AYUSH,6,60,58,0.9474,0.9104,assumed,52,52,yes
2028,Projected,BUMS (Unani),AYUSH,6,60,57,0.9474,0.9104,assumed,52,52,yes
2029,Projected,BUMS (Unani),AYUSH,6,60,56,0.9474,0.9104,assumed,52,47,yes
2030,Projected,BUMS (Unani),AYUSH,6,60,56,0.9474,0.9104,assumed,52,44,yes
2031,Projected,BUMS (Unani),AYUSH,6,60,55,0.9474,0.9104,assumed,52,52,yes
2032,Projected,BUMS (Unani),AYUSH,6,60,54,0.9474,0.9104,assumed,52,51,yes
2033,Projected,BUMS (Unani),AYUSH,6,60,53,0.9474,0.9104,assumed,52,50,yes
2034,Projected,BUMS (Unani),AYUSH,6,60,52,0.9474,0.9104,assumed,52,49,yes
2035,Projected,BUMS (Unani),AYUSH,6,60,51,0.9474,0.9104,assumed,52,49,yes
2036,Projected,BUMS (Unani),AYUSH,6,60,51,0.9474,0.9104,assumed,52,48,yes
2037,Projected,BUMS (Unani),AYUSH,6,60,51,0.9474,0.9104,assumed,52,47,yes
2038,Projected,BUMS (Unani),AYUSH,6,60,51,0.9474,0.9104,assumed,52,46,yes
2039,Projected,BUMS (Unani),AYUSH,6,60,51,0.9474,0.9104,assumed,52,46,yes
2040,Projected,BUMS (Unani),AYUSH,6,60,51,0.9474,0.9104,assumed,52,45,yes
2041,Projected,BUMS (Unani),AYUSH,6,60,51,0.9474,0.9104,assumed,52,44,yes
2042,Projected,BUMS (Unani),AYUSH,6,60,51,0.9474,0.9104,assumed,52,44,yes
2043,Projected,BUMS (Unani),AYUSH,6,60,51,0.9474,0.9104,assumed,52,44,yes
2044,Projected,BUMS (Unani),AYUSH,6,60,51,0.9474,0.9104,assumed,52,44,yes
2045,Projected,BUMS (Unani),AYUSH,6,60,51,0.9474,0.9104,assumed,52,44,yes
2046,Projected,BUMS (Unani),AYUSH,6,60,51,0.9474,0.9104,assumed,52,44,yes
2047,Projected,BUMS (Unani),AYUSH,6,60,51,0.9474,0.9104,assumed,52,44,yes
2048,Projected,BUMS (Unani),AYUSH,6,60,51,0.9474,0.9104,assumed,52,44,yes
2049,Projected,BUMS (Unani),AYUSH,6,60,51,0.9474,0.9104,assumed,52,44,yes
2050,Projected,BUMS (Unani),AYUSH,6,60,51,0.9474,0.9104,assumed,52,44,yes
2021,Observed,BNYS (Naturopathy),AYUSH,6,2060,1660,0.8292,0.9104,assumed,,,"no, partial"
2022,Observed,BNYS (Naturopathy),AYUSH,6,2060,1658,0.8292,0.9104,assumed,,,"no, partial"
2023,Observed,BNYS (Naturopathy),AYUSH,6,2060,1660,0.8292,0.9104,assumed,,,"no, partial"
2024,Observed,BNYS (Naturopathy),AYUSH,6,2060,1760,0.8292,0.9104,assumed,,,"no, partial"
2025,Observed,BNYS (Naturopathy),AYUSH,6,2060,2060,0.8292,0.9104,assumed,,,"no, partial"
2026,Projected,BNYS (Naturopathy),AYUSH,6,2060,2150,0.8292,0.9104,assumed,,,"no, partial"
2027,Projected,BNYS (Naturopathy),AYUSH,6,2060,2240,0.8292,0.9104,assumed,1555,1253,yes
2028,Projected,BNYS (Naturopathy),AYUSH,6,2060,2331,0.8292,0.9104,assumed,1555,1252,yes
2029,Projected,BNYS (Naturopathy),AYUSH,6,2060,2421,0.8292,0.9104,assumed,1555,1253,yes
2030,Projected,BNYS (Naturopathy),AYUSH,6,2060,2511,0.8292,0.9104,assumed,1555,1329,yes
2031,Projected,BNYS (Naturopathy),AYUSH,6,2060,2601,0.8292,0.9104,assumed,1555,1555,yes
2032,Projected,BNYS (Naturopathy),AYUSH,6,2060,2691,0.8292,0.9104,assumed,1555,1623,yes
2033,Projected,BNYS (Naturopathy),AYUSH,6,2060,2782,0.8292,0.9104,assumed,1555,1691,yes
2034,Projected,BNYS (Naturopathy),AYUSH,6,2060,2872,0.8292,0.9104,assumed,1555,1759,yes
2035,Projected,BNYS (Naturopathy),AYUSH,6,2060,2962,0.8292,0.9104,assumed,1555,1827,yes
2036,Projected,BNYS (Naturopathy),AYUSH,6,2060,2962,0.8292,0.9104,assumed,1555,1895,yes
2037,Projected,BNYS (Naturopathy),AYUSH,6,2060,2962,0.8292,0.9104,assumed,1555,1964,yes
2038,Projected,BNYS (Naturopathy),AYUSH,6,2060,2962,0.8292,0.9104,assumed,1555,2032,yes
2039,Projected,BNYS (Naturopathy),AYUSH,6,2060,2962,0.8292,0.9104,assumed,1555,2100,yes
2040,Projected,BNYS (Naturopathy),AYUSH,6,2060,2962,0.8292,0.9104,assumed,1555,2168,yes
2041,Projected,BNYS (Naturopathy),AYUSH,6,2060,2962,0.8292,0.9104,assumed,1555,2236,yes
2042,Projected,BNYS (Naturopathy),AYUSH,6,2060,2962,0.8292,0.9104,assumed,1555,2236,yes
2043,Projected,BNYS (Naturopathy),AYUSH,6,2060,2962,0.8292,0.9104,assumed,1555,2236,yes
2044,Projected,BNYS (Naturopathy),AYUSH,6,2060,2962,0.8292,0.9104,assumed,1555,2236,yes
2045,Projected,BNYS (Naturopathy),AYUSH,6,2060,2962,0.8292,0.9104,assumed,1555,2236,yes
2046,Projected,BNYS (Naturopathy),AYUSH,6,2060,2962,0.8292,0.9104,assumed,1555,2236,yes
2047,Projected,BNYS (Naturopathy),AYUSH,6,2060,2962,0.8292,0.9104,assumed,1555,2236,yes
2048,Projected,BNYS (Naturopathy),AYUSH,6,2060,2962,0.8292,0.9104,assumed,1555,2236,yes
2049,Projected,BNYS (Naturopathy),AYUSH,6,2060,2962,0.8292,0.9104,assumed,1555,2236,yes
2050,Projected,BNYS (Naturopathy),AYUSH,6,2060,2962,0.8292,0.9104,assumed,1555,2236,yes
2021,Observed,BHMS (Homoeopathy),AYUSH,6,850,910,0.6565,0.9104,assumed,,,"no, partial"
2022,Observed,BHMS (Homoeopathy),AYUSH,6,850,910,0.6565,0.9104,assumed,,,"no, partial"
2023,Observed,BHMS (Homoeopathy),AYUSH,6,850,830,0.6565,0.9104,assumed,,,"no, partial"
2024,Observed,BHMS (Homoeopathy),AYUSH,6,850,870,0.6565,0.9104,assumed,,,"no, partial"
2025,Observed,BHMS (Homoeopathy),AYUSH,6,850,850,0.6565,0.9104,assumed,,,"no, partial"
2026,Projected,BHMS (Homoeopathy),AYUSH,6,850,834,0.6565,0.9104,assumed,,,"no, partial"
2027,Projected,BHMS (Homoeopathy),AYUSH,6,850,818,0.6565,0.9104,assumed,508,544,yes
2028,Projected,BHMS (Homoeopathy),AYUSH,6,850,802,0.6565,0.9104,assumed,508,544,yes
2029,Projected,BHMS (Homoeopathy),AYUSH,6,850,786,0.6565,0.9104,assumed,508,496,yes
2030,Projected,BHMS (Homoeopathy),AYUSH,6,850,770,0.6565,0.9104,assumed,508,520,yes
2031,Projected,BHMS (Homoeopathy),AYUSH,6,850,754,0.6565,0.9104,assumed,508,508,yes
2032,Projected,BHMS (Homoeopathy),AYUSH,6,850,738,0.6565,0.9104,assumed,508,498,yes
2033,Projected,BHMS (Homoeopathy),AYUSH,6,850,722,0.6565,0.9104,assumed,508,489,yes
2034,Projected,BHMS (Homoeopathy),AYUSH,6,850,706,0.6565,0.9104,assumed,508,479,yes
2035,Projected,BHMS (Homoeopathy),AYUSH,6,850,690,0.6565,0.9104,assumed,508,470,yes
2036,Projected,BHMS (Homoeopathy),AYUSH,6,850,690,0.6565,0.9104,assumed,508,460,yes
2037,Projected,BHMS (Homoeopathy),AYUSH,6,850,690,0.6565,0.9104,assumed,508,451,yes
2038,Projected,BHMS (Homoeopathy),AYUSH,6,850,690,0.6565,0.9104,assumed,508,441,yes
2039,Projected,BHMS (Homoeopathy),AYUSH,6,850,690,0.6565,0.9104,assumed,508,432,yes
2040,Projected,BHMS (Homoeopathy),AYUSH,6,850,690,0.6565,0.9104,assumed,508,422,yes
2041,Projected,BHMS (Homoeopathy),AYUSH,6,850,690,0.6565,0.9104,assumed,508,412,yes
2042,Projected,BHMS (Homoeopathy),AYUSH,6,850,690,0.6565,0.9104,assumed,508,412,yes
2043,Projected,BHMS (Homoeopathy),AYUSH,6,850,690,0.6565,0.9104,assumed,508,412,yes
2044,Projected,BHMS (Homoeopathy),AYUSH,6,850,690,0.6565,0.9104,assumed,508,412,yes
2045,Projected,BHMS (Homoeopathy),AYUSH,6,850,690,0.6565,0.9104,assumed,508,412,yes
2046,Projected,BHMS (Homoeopathy),AYUSH,6,850,690,0.6565,0.9104,assumed,508,412,yes
2047,Projected,BHMS (Homoeopathy),AYUSH,6,850,690,0.6565,0.9104,assumed,508,412,yes
2048,Projected,BHMS (Homoeopathy),AYUSH,6,850,690,0.6565,0.9104,assumed,508,412,yes
2049,Projected,BHMS (Homoeopathy),AYUSH,6,850,690,0.6565,0.9104,assumed,508,412,yes
2050,Projected,BHMS (Homoeopathy),AYUSH,6,850,690,0.6565,0.9104,assumed,508,412,yes
2021,Observed,MD Siddha,AYUSH,3,152,152,0.9658,0.9728,observed (1 cohort match),,,"no, partial"
2022,Observed,MD Siddha,AYUSH,3,152,152,0.9658,0.9728,observed (1 cohort match),,,"no, partial"
2023,Observed,MD Siddha,AYUSH,3,152,152,0.9658,0.9728,observed (1 cohort match),,,"no, partial"
2024,Observed,MD Siddha,AYUSH,3,152,152,0.9658,0.9728,observed (1 cohort match),143,143,"no, partial"
2025,Observed,MD Siddha,AYUSH,3,152,152,0.9658,0.9728,observed (1 cohort match),143,143,"no, partial"
2026,Projected,MD Siddha,AYUSH,3,152,152,0.9658,0.9728,observed (1 cohort match),143,143,"no, partial"
2027,Projected,MD Siddha,AYUSH,3,152,152,0.9658,0.9728,observed (1 cohort match),143,143,yes
